NUM;AREA;LOCUS;BUCKET;CLASS;TYPE;MATERIAL;TECHNIQUE;DECORATION;PRESERVATION;FRAGMENTS;HEIGHT;LENGHT;WIDTH;THICKNESS;DIAMETER;PERF. DIAM.;WEIGHT;DESCRIPTION;
210;H;F.1004;;sculpture;Relief;basalt;hand;;fragmentary;1;16,5 +;13 +;8 +;;;;;Relief fragment of fine grained basalt with beard. (Near Water gate);
211;B;F.817;322/b;stone vessel;basin;limestone;hand;;fragmentary;1;14,6 +;;10 +;5,2;;;;Fragment of limestone basin, shallow depression.;
212;B;F.114;321/c;stone vessel;tripod;basalt;hand;;fragmentary;1;5;8.1+;4.5;;;;;Tripod leg of fine grained basalt with emicircular section.;
213;Acropoli;F.1000;;Other;sharpener;basalt;hand;;fragmentary;1;;16 +;13,5 +;7,1 +;;;;Rectangular sharpener of fine grained basalt with three long signs on two sides.;
215;G;F.1044;524/f;coin;coin;bronze;moult;;complete;1;;;;0.5;1.9;;5;Bronze coin, recto and verso illegible.;
216;G;F.1044;524/o;coin;coin;bronze;moult;;complete;1;;;;0.4;2;;6;Bronze coin, recto and verso illegible.;
217;G;F.1044;524/d;coin;coin;bronze;moult;;complete;1;;;;0.6;2.7;;17;Bronze coin, recto and verso illegible.;
218;G;F.1044;524/a;coin;coin;bronze;moult;;complete;1;;;;0.5;2.3;;8;Bronze coin, recto and verso illegible.;
219;G;F.1044;524/i;coin;coin;bronze;moult;;complete;1;;;;0.35;1.8;;5;Bronze coin. Recto: men's head. Verso: illegible.;
220;G;F.1044;524/p;coin;coin;bronze;moult;;fragmentary;1;;;;0.5;2.2;;4;Half part of bronze coin , recton and verso illegible.;
221;G;F.1044;524/e;other;lamina;bronze;-;;fragmentary;1;;4.1;3;0.4;;;;Bronze lamina.;
222;G;F.1044;524/n;coin;coin;bronze;moult;;complete;1;;;;0.45;1.9;;6;Bronze coin, recto and verso illegible.;
223;G;F.1044;524/h;coin;coin;bronze;moult;;complete;1;;;;0.3;1.8;;5;Bronze coin, recto and verso illegible.;
224;G;F.1044;524/l;coin;coin;bronze;moult;;complete;1;;;;0.45;1.9;;7;Bronze coin, recto and verso illegible.;
225;G;F.1044;524/b;coin;coin;bronze;moult;;complete;1;;;;0.3;1.8;;5;Bronze coin, recto and verso illegible.;
226;G;F.1044;524/g;coin;coin;bronze;moult;;complete;1;;;;0.55;2.1;;6;Bronze coin, recto and verso illegible.;
227;G;F.1044;524/m;coin;coin;bronze;moult;;complete;1;;;;0.4;1.7;;4;Bronze coin, recto and verso illegible.;
229;G;P.1024/F.1043;523/a;coin;coin;bronze;moult;;complete;1;;;;0.3;1.8;;5;Bronze coin, recto and verso illegible.;
230;A west;L.640;122/b;modern object;indeterminate;iron;;;complete;1;;;;;;;;Triangular object with hole in the center.;
231;A west;F.643;121/a;metal tool&weapon;blade;iron;hand;;fragmentary;1;;11.5+;2.6+;0.6;;;;Iron blade.;
232;A west;F.638;119/a;metal tool&weapon;blade;iron;hand;;nearly complete;1;;17;2.6;0.8;;;;Iron blade.;
233;C west;F.910;404/b;glass conteiner;glass vessel;glass;hand;;fragmentary;1;2;;;;9;;;"Green glass rim. Rim:0.4 cm; wall: 0.2 cm.";
234;G;F.1040;521/a;ornament;ring;ivory;hand;;nearly complete;;;;;0.5;3.2;;;Very polished ivory ring.;
235;A west;L.640;122/a;coin;coin;bronze;moult;;complete;1;;;;0.4;1.8;;6;Bronze coin, recto and verso illegible.;
236;est king's gate;surface;;metal tool&weapon;blade;iron;hand;;nearly complete;1;;14.1;3;0.3;;;;Iron blade.;
237;G;F.1015;507/f;coin;coin;bronze;moult;;complete;1;;;;0.5;2.4;;14;Bronze coin. Recto: men's head?. Verso: illegible.;
238;A west;F.640;122/c;metal ornament;pin;bronze;hand;;nearly complete;1;;6.6+;;0.4;;;;Bronze pin.;
239;A east;F. 760;201/a;Ornament;bracelet;glass;hand;;fragmentary;1;;;;0.5;4;;;Fragment of a torquoise glass bracelet, with emicircular section.;
240;B;F.817;323/b;other;indeterminate;stone;hand;;fragmentary;1;7.4;11+;6.1;;;;;Elongated object of white stone.;
241;B;F.809;315/g;textile tool;spindle whorl;pottery;hand;;fragmentary;1;;;;1;5.4;0.5;;Discoidal spindle whorl, pottery fragment reused.;
242;G;F.1044;524/c;other;indeterminate;bone;hand;incised;fragmentary;1;3.8+;;;;0.8;;;Elongated bone object with stripes.;
243;H;F.1100;600/a;textile tool;counterweight;stone;hand;;nearly complete;1;;9.1;8.2;;;1;;Donate shaped counterweight o f white stone.;
244;B;F.114;321/b;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;3.8+;6+;3.7+;;;;;Body of an animal clay figurine, with harness.;
245;B;F.817;323/c;clay figurine;clay figurine;clay;hand;;fragmentary;1;6,6 +;;5 +;3 +;;;;"Indeterminate clay figurine. 7.5YR8/4; <0.5 mm, <3%.";
246;G;F.1043;523/b;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;4.8+;4.1;2.8;;;;;Head of an horse figurine, with harness.;
247;Lawrence's house;.surf;;sculpture;Sculpture;basalt;hand;;fragmentary;1;4,7 +;14,5 +;8,4 +;;;;;Sculpture fragment of fine grained basalt;
248;H;F.1100;600/b;stone vessel;tripod;basalt;hand;;fragmentary;1;14.8+;;;;40;;;"Tripod of fine grained basalt with vertical leg,  mortar used; rim 2,3 cm, wall 6,6 cm.";
