NUM;AREA;LOCUS;BUCKET;CLASS;TYPE;MATERIAL;TECHNIQUE;DECORATION;PRESERVATION;FRAGMENTS;HEIGHT;LENGHT;WIDTH;THICKNESS;DIAMETER;PERF. DIAM.;WEIGHT;DESCRIPTION;
350;C;F. 963;441/f;clay figurine;chariot wheel;pottery;hand;;nearly complete;1;;;;1.7;7.2;1.2;;Discoidal chariot wheel.;
351;H;F.1127;620/b;stone vessel;tripod;basalt;hand;;fragmentary;1;6.8;;;;15;;;"Tripod fragment of fine grained basalt, elliptical section leg; rim 1.2 cm, wall 1.5 cm.";
352;H;F.1117;611/a;stone vessel;plate;basalt;hand;;fragmentary;1;4.5+;;;;;;;Plate of fine grained basalt, wall 2.1 cm, base 1.5 cm.;
353;H;F.1124;618/g;stone vessel;vessel;basalt;hand;;fragmentary;1;6+;;;;25;;;"Stone vessel of fine grained basalt; rim 1.8 cm, wall 2.2 cm.";
354;H;F.1124;618/h;stone vessel;tripod;basalt;hand;;fragmentary;1;6.1+;;;;30;;;"Tripod fragment of fine grained basalt; rim 2.3 cm, wall 3 cm.";
355;H;F.1124;618/l;stone vessel;vessel;basalt;hand;;fragmentary;1;7.8+;;;;32;;;"Stone vessel of fine grained basalt; rim 2 cm, wall 3 cm.";
356;H;F.1124;618/e;stone tool&weapon;grinder;basalt;hand;;fragmentary;1;6.8;13+;10;;;;;"Grinder of medium grained basalt; triangular se ction.";
357;H;F.1127;620/a;stone tool&weapon;grinder;basalt;hand;;fragmentary;1;7;12.5+;10.5+;;;;;"Grinder of medium grained basalt; high plano-convex section.";
358;H;F.1124;618/c;stone tool&weapon;grinder;basalt;hand;;fragmentary;1;4.2;12.2+;11.5;;;;;Grinder of medium grained basalt, plano-convex section.;
359;H;F.1124;618/i;stone tool&weapon;grinder;basalt;hand;;fragmentary;1;4.4;9.5+;12.5;;;;;"Grinder of medium grained basalt; plano convex section.";
360;H;F.1127;620/c;stone vessel;tripod;basalt;hand;;fragmentary;1;10.5;;;;32;;;"Tripod of fine grained basalt; rectangular section leg, flat rim, mortar used; rim 2.6 cm, wall 2.9 cm.";
361;H;F.1124;618/a;stone tool&weapon;grinding stone;basalt;hand;;fragmentary;1;;;;;;;;"Fragment of a medium grained basalt grinding stone; wall 5.1 cm.";
363;A west;F.661;137/a;clay figurine;Animal figurine;clay;hand;;fragmentary;1;3.7+;7.1+;3.6+;;;;;Body of an animal figurine.;
364;G;F.1064;544/a;stone tool&weapon;polishing pebble;basalt;hand;;complete;1;;13.9;1.5;1.5;0.4;;;Basalt polishing pebble.;
365;A east;F.761;204/f;indeterminate;indeterminate;pottery;hand;;complete;1;4;;;;2.9;;;Small clay cone.;
366;C;F.900;400/f;other;indeterminate;basalt;hand;;fragmentary;1;4.4;9+;8+;;;;;Indeterminate object of coarse grained basalt with a groove on a long side.;
367;G;F.1063;543/a;pottery figurine;Antropomorphic figurine;pottery;mold;;fragmentary;1;7.7+;;3.5+;0.3;;;;Fragment of a female pottery figurine with long robe.;
369;C;F.990;453/a;ornament;pin;iron;mold;;fragmentary;2;7,5;;;0,5;;;;Iron pin fragments with flat head.;
370;B;F.818;324/a;clay figurine;clay figurine;clay;hand;;fragmentary;1;3 +;3,7 +;3 +;;;;;"Body fragment of a animal clay figurine. 5YR7/6; <0.5-1 mm, <3%.";
371;C east;F.963;441/e;Stone vessel;bowl;basalt;hand;;fragmentary;1;6,6;;;;34;;;"Bowl of fine grained basalt; rim 2.2 cm, wall 2.5 cm, bottom 2.7 cm. Flat rim and bottom. Mortar used.";
372;C;F.1301;450/c;stone vessel;mortar;basalt;hand;;fragmentary;1;9.8+;;;;47;;;"Mortar of medium grained basalt; rim 4 cm, wall 4.8 cm, bottom 5.3 cm.";
373;B;F.818;324/b;stone tool&weapon;pestle;stone;hand;;complete;1;;;;;6.6;;;Nearly spherical stone pestle.;
374;A west;F.645;123/c;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;5.2+;5.6+;4.7;;;;;Forepart of an animal figurine, with harness.;
375;C east;F.1301;450/b;Stone tool;mortar;basalt;hand;;fragmentary;1;13;;;;25;;;"Mortar fragment of fine grained basalt; rim 2.5 cm, wall 6.2 cm.";
376;C east;F.963;441/c;glass conteiner;glass vessel;glass;hand;;fragmentary;1;1.9;;;;5;;;"Transparent glass ring bottom. Bottom: 0.6 cm; wall: 0.2 cm.";
377;C east;F. 1301;450/a;Ornament;bracelet;glass;hand;;fragmentary;1;;;;0.8;7;;;Fragment of a glass bracelet, with black and white stripes painted on the surface, and with triangular section.;
378;H;F.1127;622/f;stone vessel;tripod;basalt;hand;;fragmentary;1;10.5+;;;;;;;"Tripod fragment of fine grained basalt, vertical short leg;mortar used. Wall 3.3 cm.";
379;H;F.1127;622/b;stone vessel;vessel;basalt;hand;;fragmentary;1;6.6+;;;;;;;"Vessel of fine grained basalt high foot, carenated, ring bottom, mortar used; wall 3.2 cm, bottom 4.9 cm.";
380;A west;F.656;138/a;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;5.1+;5.3+;4.2+;;;;;Forepart of an animal figurine, with harness.;
381;A east;F.766;207/b;clay figurine;figurine;clay;hand;;nearly complete;1;4.8;5.3;3.7;;;;;Clay miniatur of bed or horse? ;
382;A east;F.766;207/a;stone vessel;vessel;basalt;hand;;fragmentary;1;5.3+;;;;;;;Basalt vessel, base diameter 11 cm, base thickness 4 cm.;
383;H;F.1127;622/g;clay figurine;clay figurine;clay;;applied;fragmentary;1;5.2+;4.1+;3.4;;;;;Head of clay horse with applied eyes and harness.;
384;C east;F. 1303;450/d;Ornament;bracelet;glass;hand;;fragmentary;1;;;;0.8;7;;;Fragment of a glass bracelet, with triangular section.;
385;G;F.1069;548/a;stone vessel;bowl;basalt;hand;;fragmentary;1;6.8;;;;29;;;"Bowl of fine grained basalt; rim 2.1 cm, wall 1.8 cm, bottom 2.2 cm, bottom d. 13 cm. Flat rim, ring bottom.";
386;via colonnata tratto sud;surface;;coin;coin;bronze;moult;;complete;1;;;;0.2;1.8;;2;Bronze coin. Recto: head, inscription. Verso: illegible figure and inscription.;
387;surface;Inner Town;1002/a;textile tool;spindle whorl;stone;hand;;complete;1;;;;0.6;2.4;0.3;;Tronco-conical stone spindle whorl.;
388;G;F.1069;547/a;textile tool;needle;bone;hand;;complete;1;;7.8;1.7;0.4;;;;Leaf shaped bone needle.;
389;G;F.1069;547/b;Architectural frag.;Orthostat;basalt;hand;;fragmentary;1;5.4+;7.4+;4.5+;;;;;Corner fragment of a fine grained basalt orthostat.;
390;H;F.1127;622/e;stone tool&weapon;grinder;basalt;hand;;fragmentary;1;4;10+;11.5;;;;;"Grinder of medium grained basalt; plano-convex section.";
391;H;F.1127;622/d;stone tool&weapon;grinder;basalt;hand;;fragmentary;1;4.6;14+;12;;;;;Grinder of medium grained basalt, shallow plano-convex section.;
392;H;F.1127;622/c;stone tool&weapon;grinder;basalt;hand;;fragmentary;1;4;4+;10.5;;;;;Grinder of medium grained basalt, plano-convex section.;
393;H;F.1127;622/a;stone tool&weapon;grinding stone;basalt;hand;;nearly complete;1;10.5+;25+;23+;;;;;"Grinding stone of fine grained basalt; shallow depression.";
394;C east;F.990;453 /c;glass conteiner;glass vessel;glass;hand;;fragmentary;1;2.1;;;;7;;;"Green glass rim. Rim:0.2 cm; wall: 0.2 cm.";
395;C east;F.990;453/b;glass conteiner;glass vessel;glass;hand;;fragmentary;1;0.7;;;;;;;"Black glass rim. Rim:0.3 cm; wall: 0.3 cm.";
396;C east;F. 990;453/e;Ornament;bracelet;glass;hand;;fragmentary;1;;;;0.5;4;;;Fragment of a torquoise glass bracelet, with emicircular section.;
397;C;F.964;435/b;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.7;9;;;Fragment of a glass bracelet, with triangular section.;
398;A west;W.623;130/d;stone vessel;vessel;basalt;hand;;fragmentary;1;9.3;;;;26;;;"Vessel of fine grained basalt; rim 2.2 cm, wall 4.4 cm, bottom 5.4 cm, bottom d.15. Flat rim, vertical wall, ring bottom.";
399;C;F.964;435/a;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.8;6;;;Fragment of a torqouise glass bracelet, with emicircular section.;
400;C east;F.990;435/a;stone vessel;bowl;basalt;hand;;fragmentary;1;6,4;;;;25;;;"Bowl of fine grained basalt; rim 1.8 cm, wall 3.1 cm.";
401;B;F.807;308/d;clay figurine;Animal figurine;clay;hand;;fragmentary;1;4.3+;5.2+;3.8+;;;;;Hinder part of an animal figurine.;
402;B;F.809;313/e;clay figurine;Antropomorphic figurine;clay;hand;applied;fragmentary;1;3.8+;;5.5;1.6+;;;;"Part of a body of an antropomorphic figurine, with hands to his chest.
10 YR 8/3;";
403;C east;F.956;431/a;clay figurine;clay figurine;clay;hand;;fragmentary;1;2.3;5.9+;3.8;;;;;Clay horse body;
404;G;F.1069;548/d;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;5.3+;;2.2;2.2;;;;Head of an horse figurine without snout.;
405;surface;Colonnaded Street;1001/b;other;indeterminate;bronze;mold;;fragmentary;1;3.3+;5.5+;3.5+;1.6;;;;Bronze fragment with one side smoothed. (wall of a metal vessel?);
406;A west;F.666;140/b;indeterminate;lamina;iron;-;;fragmentary;26;;;;0.8;;;;Fagments of iron lamina (modern?);
407;H;F.1127;621/;clay figurine;figurine;clay;hand;;fragmentary;1;4.9+;;3.4;2.8;;;;Lowest part of anthropmorfic clay figurine, with legs (or feet);
408;C;F.1301;450/b;stone vessel;vessel;basalt;hand;;fragmentary;1;13.5;;;;30;;;"Vessel of medium grained basalt; rim 2.2 cm, wall 5.8 cm, base 3 cm.";
409;A west;F.666;140/a;metal ornament;pin;bronze;hand;;nearly complete;1;;7.6+;;0.4;;;;Bronze pin.;
410;G;F.1075;558/d;metal tool&weapon;spear head;iron;hand;;nearly complete;1;;12.2;1.5;0.3;;;;Iron spear head.;
411;C;F. 990;443/b;Ornament;bead;glass paste;hand;;complete;1;;;;0.4;1;0.3;;Donut shaped glass paste bead.;
412;G;F.1072;555/b;stone vessel;bowl;basalt;hand;;fragmentary;1;6.7;;;;27;;;"Bowl of fine grained basalt; rim 1.6 cm, wall 2.8 cm, bottom 3.2 cm, bottom d. 18. Flat rim, ring bottom, mortar used.";
413;G;F.1075;558/b;pottery figurine;Antropomorphic figurine;pottery;mold;;fragmentary;1;5+;;3.4+;2+;;;;Fragment of a female pottery figurine, only head preserved.;
414;H;F.1100;628/a;clay figurine;Animal figurine;clay;hand;;fragmentary;1;4+;7+;3.7+;;;;;Body of an animal figurine.;
415;G;F.1075;558/a;pottery figurine;Antropomorphic figurine;pottery;mold;;fragmentary;1;7.4+;;5.5+;1;;;;Fragment of a female figurine that holding a tablet.;
416;G;F.1068;556/a;stone tool&weapon;polisher;stone;hand;;complete;1;;12.5;3.2;1.3;;;;Stretched stone polisher.;
417;G;F.1072;555/a;clay figurine;Antropomorphic figurine;clay;hand;;fragmentary;1;6.2+;;4.9+;2.6;;;;Antropomorphic figurine, with hands to the chest.;
418;H;F.1134;626/b;stone tool&weapon;grinder;basalt;hand;;fragmentary;1;4.4+;8.5+;6.7+;;;;;Grinder of medium grained basalt.;
419;H;F.1134;626/a;stone tool&weapon;grinder;basalt;hand;;fragmentary;1;6.3;10.5+;11.5+;;;;;"Grinder of medium grained basalt; plano-convex section.";
420;G;F.1075;558/c;pottery figurine;;pottery;mold;;fragmentary;1;6.2+;;4+;0.4;;;;Fragment with a horse leg.;
421;H;F.1132;623/a;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;5+;8.9+;5.2+;;;;;Body of an animal figurine, with harness.;
422;G;F.1070;550/a;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;4.2+;7.1+;4.8;;;;;Body of an animal figurine, with harness.;
423;G;F.1074;553/a;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;3.1;5.8+;3.5;;;;;Snake head of a clay figurine.;
424;C;F.1325;459/a;sculpture;relief;basalt;hand;;fragmentary;1;22.3+;;12+;16.9+;;;;Fragment of medium-grained basalt relief with lion hides.;
425;A west;W.623;130/b;stone tool;mortar;limestone;hand;;complete;1;45;;;;55;28,5;;Nearly circular mortar of limestone. (IN SITU);
426;A west;W.623;130/c;stone tool;mortar;limestone;hand;;complete;1;60;74;65;;;31;;Rectangular mortar of limestone.;
427;est via collonata;surface;;coin;coin;bronze;moult;;complete;1;;;;0.2;1.9;;4;Bronze coin. Recto: men's head. Verso: illegible.;
428;G;F.1082;561/a;metal ornament;pin;bronze;hand;;nearly complete;1;;8.1+;;0.3;;;;Bronze pin.;
429;A west;F.656 (sul pavimento L.665);136/a;metal tool&weapon;nail;iron;hand;;nearly complete;1;;9.9+;;1.3;;;;Iron nail with square section.;
430;est via collonata (50 m N rampart);surface;;coin;coin;bronze;moult;;complete;1;;;;0.25;2.1;;4;Bronze coin, recto and verso illegible.;
431;G;F.1077;559/a;ornament;pin;bone;hand;incised;nearly complete;1;5.7+;;;0.7;;;;Bone pin with geometrical decoration incised.;
432;C;F.1315;458/a;glass conteiner;glass vessel;glass;hand;;fragmentary;1;1.9+;;3.2+;3.4+;;;;"Yellow glass handle. Handle 0.3cm; wall: 0.2 cm.";
433;G;F.1077;559/b;stone vessel;vessel;basalt;hand;;fragmentary;1;2.8+;;;;;;;"Vessel of fine grained basalt; wall 1 cm, base 0.9 cm.";
434;H;surface;;sculpture;statue;basalt;hand;;fragmentary;1;12.1+;;10.5+;4.4+;;;;Statue of medium-grained basalt, with lion hides.;
435;Inner Town;surface;;coin;coin;bronze;moult;;complete;1;;;;0.2;1.3;;1;Bronze coin, recto and verso illegible.;
436;C;F.1343;470/a;coin;coin;bronze;mold;;nearly complete;1;;;;0.3;1.6;;0.1;Bronze coin.;
437;Lower Palace Area (east Area C);surface;;coin;coin;bronze;moult;;complete;1;;;;0.2;1.7;;1;Bronze coin, recto and verso illegible.;
438;Inner Town;surface;;coin;coin;bronze;moult;;complete;1;;;;0.2;2.1;;3;Bronze coin. Recto: men's head and latin inscription?. Verso: illegible figure in the center and latin inscription?.;
439;H;F.1100;628/b;coin;coin;bronze;moult;;complete;1;;;;0.35;3.1;;11;Bronze coin. Recto: Jesus Christ, latin inscription. Verso: latin inscription.;Verso: 1)(cross) IH.., 2)XRIST., 3) BASIL, 4) BASIL
440;A west;F.677;151/b;modern object;handle?;iron;;;complete;1;;;;;;;;Modern iron handle from forniture???;
441;A west;F. 674;147/a;clay figurine;animal figurine;clay;hand;applied;fragmentary;1;5.7+;3.9+;4.4+;;;;;Forepart of an animal figurine, with harness.;
442;G;F.1081;562/c;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;5.1+;8.5+;5.8+;;;;;Body and forepart of an animal figurine, with harness.;
443;E;F.400;1/a;textile tool;spindle whorl;stone;hand;;nearly complete;1;1;;;;2.3;0.3;;Conical spindle whorl.;
444;C east;F.1320;457/a;sculpture;relief;basalt;hand;;fragmentary;1;18.8+;;19.4+;13+;;;;Fragmentary external part of orthostat deep incised.;
445;A west;F.677;151/c;stone tool;mortar;limestone;hand;;complete;1;55;86;67;;;33,5;;Rectangular mortar of limestone. (IN SITU);
447;A west;F.677;151/a;clay figurine;animal figurine;clay;hand;;fragmentary;1;7.2+;6.7+;5.4+;;;;;Hinder part of an animal figurine.;
448;B;F.807;308/;clay figurine;clay figurine;clay;hand;applied;fragmentary;1;6,3 +;;4,8 +;2,4 +;;;;"Indeterminate fragment of a clay figurine. 7.5YR8/3; <0.5 mm, <3%.";
449;C;F.963;430/a;stone vessel;vessel;basalt;hand;;fragmentary;1;6+;;;;;;;"Vessel of fine grained basalt, only base preserved; base 4 cm.";
450;G;surf.;;pottery figurine;pottery figurine;pottery;mold;;fragmentary;1;3,6 +;3,7;2 +;;;;;"Female head of a pottery figurine.7.5YR8/3; <0.5-1 mm, <3%.";
451;surface;Inner Town;1002/f;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;11;4.8+;5.1;;;;;Forepart of an horse figurine, with harness.;
452;C;F. 1329;463/a;Ornament;bracelet;glass;hand;;fragmentary;1;;;;0.7;8;;;Fragment of a twisted glass bracelet, with circular section.;
453;G;F.1081;562/a;textile tool;spocket;clay;hand;;nearly complete;2;;8.8;5;3.8;;;;Clay spocket with cilindrical section and three fingerprints on one end.;
454;H;F.1127;622/h;other;door socket;basalt;hand;;nearly complete;2;;17+;13.5+;6.8;;;;Door socket of medium grained basalt.;
455;A west;F.679;152/c;modern object;indeterminate;steel?;;;complete;1;;;;;;;;Fold steel lamina with holes.;
456;Inner Town;surface;;modern object;indeterminate;iron;;;complete;1;;;;;;;;Iron object, bird-shape, with 2 holes.;
457;G;F.1081;562/d;ornament;bead;amber;hand;;complete;1;;;;0.9;1.3;0.3;;Donut shaped bead.;
458;A east;F.772;155/b;other;indeterminate;iron;hand;;fragmentary;1;;8.4+;;0.8+;;;;Iron fragment.;
459;G;F.1081;562/b;other;clay figurine;pottery;hand;;complete;1;;;;1.3;5.1;0.9;;Discoidal chariot wheel.;
460;G;F.1081;562/e;clay figurine;Antropomorphic figurine;clay;hand;applied;fragmentary;1;3.9+;;5.9+;3+;;;;Part of the body of an antropomorphic figurine, with one arm on his chest. 5YR8/4. Inclusion: 3-10%,;
461;G;F.1084;564/a;other;indeterminate;bone;hand;;fragmentary;1;;9.2+;1.5+;1;;;;Fragment of a bone object.;
462;G;F.1084;563/a;clay figurine;Animal figurine;clay;hand;applied;fragmentary;2;4.8+;4.7+;3.2+;;;;;Head of an horse figurine.;
463;C;F.943;421/b;other;clay figurine;pottery;hand;;nearly complete;1;;;;1.1;5.7;0.6;;Discoidal chariot wheel.;
464;C east;F.1357;478/a;metal tool and weapon;hinge;bronze;mold;;fragmentary;2;10,1 +;;3,5;1,7;;;;Fragments of bronze hinge (belonging to a chest?);
465;C east;F.1392;495/a;sculpture;relief;limestone;hand;;complete;1;135,5;100;25;;;;;Limestone ortostat with fighting scene between a bull and, probably, a lion. Reused as a base for Royal Buttress ortostat. (IN SITU);
466;Woolley's boulvard;surf.;;sculpture;sculpture;basalt;hand;;fragmentary;1;15 +;12 +;9 +;;;;;Sculpture fragment of fine grained basalt.;
467;A west;F.679;152/a;other;indeterminate;iron;hand;;fragmentary;1;;1.5+;1.5+;0.3;;;;Iron slag.;
468;C east;F.1357;478/c;metal tool & WEAPON;hinge;bronze;hand;;fragmentary;1;;3;2,4;0,4;;;;Fragment of a bronze hinge.;
469;Woolley's boulvard;surf.;;sculpture;relief;basalt;hand;;fragmentary;1; 15 +;26,5 +;14 +;;;;;Relief fragment of fine grained basalt with an arm.;
470;A west;F.681;153/a;coin;coin;bronze;moult;;complete;1;;;;0.3;1.2;;1;Bronze coin, recto and verso illegible.;
471;est via collonata;surface;;coin;coin;bronze;moult;;complete;1;;;;0.2;1.6;;3;Bronze coin. Recto: men's head, inscription?. Verso: illegible figure and inscription.;
472;est via collonata;surface;;coin;coin;bronze;moult;;complete;1;;;;0.3;2;;4;Bronze coin. Recto: men's head. Verso: illegible.;
473;est via colonnata;surface;;coin;coin;bronze;moult;;complete;1;;;;0.2;1.6;;1;Bronze coin. Recto: men's head. Verso: 2 men and object in the center and inscription.;
474;E via colonnata;surface;;coin;coin;bronze;moult;;complete;1;;;;0.4;2.5;;10;Bronze coin, recto and verso illegible.;
475;C;F.1334;465/a;metal ornament;bracelet or pin;bronze;hand;incised;fragmentary;1;3;;;;0.4;;;Fragment of bronze bracelet or pin, ldecored with incised lines.;
476;A east;F.772;155/a;clay figurine;Animal figurine;clay;hand;;fragmentary;1;5.6+;6.1+;5+;;;;;Hinder part of an animal figurine. 10YR7/3. Inclusion: 3-10%,;
477;C east;F.990;453/;clay figurine;animal figurine;clay;hand;applied;fragmentary;1;4.1+;4.4+;4.3+;;;;;Forepart of an animal figurine, with harness. 7.5YR7/4. Inclusion: 3-10%, <0.5mm;
478;A west;F.686;156/b;Stone vessel;vessel;basalt;hand;;fragmentary;1;4.7;;;;;;;"Fragment of a fine grained basalt vessel. Rim: 0.8; Wall:1.9";
479;A east;F.774;156/a;clay figurine;Antropomorphic figurine;clay;hand;applied;fragmentary;1;6.8+;;5.8;2.6;;;;Body of an antropomorphic figurine, with hands on his chest. 7.5YR8/4. Inclusion:;
480;C;F.1329;463/b;clay figurine;animal figurine;clay;hand;applied;fragmentary;1;6 +;8,8;5,3 +;;;;;"Body fragment of a horse figurine with harness. 5YR7/2; <0.5 mm, <3%";
481;C east;F.1328;462/a;clay figurine;animal figurine;clay;hand;applied;fragmentary;1;4 +;4,5;2,4;;;;;"Head of a horse figurine with harnes. 5YR8/2; <0.5 mm, <3%";
482;C;F.1317;464/a;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;3.8+;8.9+;3.1+;;;;;Body of an animal figurine, with harness. 5YR7/4. Inclusion:;
483;A east;F.776;159/a;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;6.1+;4.4+;3.2+;;;;;Forepart of an animal figurine, with harness. 5YR7/4. Inclusion:;
484;A west;F.687;158/c;stone vessel;bowl;basalt;hand;;fragmentary;1;4.6+;;;;17;;;"Bowl of fine grained basalt, carenated, with handle along the diameter, mortar used; ring bottom. Rim 0.9 cm, wall 1.5 cm, base 2.2 cm.";
485;A west;F.687;158/a;stone vessel;bowl;basalt;hand;;fragmentary;1;5.5+;;;;20;;;"Bowl of fine grained basalt; rim 1 cm, wall 1.9 cm.";
486;Gurçay Cemetery;;;inscription;monumental inscription;basalt;hand;;fragmentary;1;106;;56,5;40,5;;;;Inscription fragment of fine grained basalt.(IN SITU);
487;Gurçay field;;;sculpture;relief with inscription;basalt;hand;;fragmentary;1;70,5;;43;46;;;;Relief fragment of fine grained basalt with part of an harm with bow and iscription.(IN SITU);
488;B;F.687;158/b;modern object;cup;tinplate;moult;;complete;1;;;;;;;;Modern cup of tinplate.;
489;Acropoli;F.1000;;;relief;basalt;hand;;fragmentary;1;12 +;12,5 +;9 +;;;;;Relief fragment of fine grained basalt with a horn.;
491;C east;F.1357;478/d;indeterminate;indeterminate;bronze;-;;fragmentary;3;;;0.8;0.2;0.6;;;Fragment of bronze lid?;
492;C east;F.1357;478/g;metal tool & WEAPON;brazier;iron and bronze;hand;;fragmentary;1;;;4.5;0.9;25;;;Part of assirian movable brazier?;
493;C eat;F.1357;478/e;metal tool and weapon;lamina;bronze;hand;;fragmentary;many pieces;;;;;;;;Many pieces of bronze lamina, probaly part of brazier KH.12.O.492. ;
494;C east;F.1357;478/j;metal ornament;bracelet;bronze;hand;;fragmentary;1;;;;0.2;6;;;Fragment of a bronze bracelet.;
495;E via colonnata;surface;;coin;coin;bronze;moult;;complete;1;;;;0.7;2.1;;9;Bronze coin, recto and verso illegible.;
496;est via colonnata;surface;;coin;coin;bronze;moult;;complete;1;;;;0.6;2;;7;"Bronze coin, recto: seated man?, inscription; verso illegible.";
497;A east;F.769;153/b;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;2.7+;3.8;2.2;;;;;"Head fragment of a horse figurine.
5YR8/3; 0.5 - 1 mm,";
498;C east;F.1357;478/f;METAL TOOL & WEAPON;hinge;bronze;hand;;fragmentary;1;2.2;;4.1;;2.2;1.6;;Bronze door hinge with one hole (d.0.25) for nail.;
499;C;F.1329;466/a;modern object;handle?;iron;;;fragmentary;1;;;;;;;;Modern iron handle from forniture???;
500;C;F.1356;475/a;METAL TOOL & WEAPON;hinge;bronze;hand;;fragmentary;1;2.1;;2.1;2.4;;0.8;;Bronze door hinge with 2 nails.;
501;C;F.1329;466/b;metal tool&weapon;graffa;iron;hand;;nearly complete;1;3,8;;1,5;0,2;;;;Nail with square head and rectangular section leg.;
502;A west;F.688;163/a;clay figurine;animal figurine;clay;hand;applied;fragmentary;1;5,2 +;3,6;;1,9;;;;"Horse head. 10YR 8/2; <0.5 mm, <3%.";
503;C;Royal buttress;;sculpture;statue;basalt;hand;;fragmentary;1;8.7+;;20.3+;6.5+;;;;Fragment of statue of medium-grained basalt, with turned part.;
504;C;Royal buttress;;sculpture;statue;basalt;hand;;fragmentary;1;15.2+;;15.9;8.1+;;;;Fragment of statue of medium-grained basalt, with turned part.;
505;C;F.1359;483/b;metal vessel;metal vessel?;bronze;hand;;fragmentary;1;2.8;;;;9.1;;;"Flat bottom of bronze vessel,empty inside. Bottom: 0.7 cm; wall:0.2 cm";
506;A west;F.684;155/b;metal tool&weapon;spatula;iron;hand;;complete;1;8,5;;0,6;0,4;;;;Iron spatula with flat head.;
507;C;F.1356;476/a;clay figurine;clay figurine;clay;;applied;fragmentary;2;8.2+;7.8+;3.3+;;;;;Clay horse with one leg, applied eyes and harness.;
508;A east;F.769;153/c;textile tool;loom weight;pottery;hand;;complete;1;7.7;;;3.4;;;;Tronco-pyramidal loom weight.;
509;Via colonnata;surface;;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.6;6;;;Fragment of a twisted glass bracelet, with circular section.;
510;C east;F.1359;483/a;stamp seal;stamp seal;stone;hand;incised;fragmentary;1;2.3;;1.9+;1.8;;0.2;;White stone stamp seal troncoconical-shape. Two side incised: at the bottom and one big side.  1) On the big side: offerent man with beard, fringed dress, and rounded tiara, long hair with curly on the end under the star. 2) Offerent, with the long smooth dress, in front of the altar;
511;C east;F.1320;456/a;textile tool;spindle whorl;stone;hand;;nearly complete;1;;;;0.7;2.4;0.5;;Emispherical stone spindle whorl.;
512;C east;F.1325;459/a;inscription;monumental inscription;basalt;hand;;fragmentary;1;6+;;5.8;4+;;;;Monumental hieroglific inscription of fine-grained basalt.;
513;C east;F.1357;478/h;other;indeterminate;bronze;mold;;fragmentary;16;;;0,3;;;;;Fragments of a bronze lamina;
514;C east;F.1357;478/i;METAL TOOL & WEAPON;sword;iron;;;nearly complete;4;;37.9;5.3;3.3;;;;Iron sword. Smooth and tapered blade (25.1 x 4 x1.4 cm), hilt (12.8 x 5.3 x 3.3 cm) heart-shape in the blade insert, with pommel.;
515;C;F.995;445/a;sculpture;relief;basalt;hand;;fragmentary;1;60;61;48;;;;;Relief fragment of fine grained basalt with lion head.(IN SITU);
516;outer town;;;clay figurine;clay figurine;clay;hand;applied;fragmentary;1;3,4 +;8 +;4,2 +;;;;;Body fragment of an animal clay figurine with harness. 5YR8/3, <0,5-1 mm, <3%.;
517;Rampart;F.1005;1005/a;clay figurine;antropomorphic figurine;clay;hand;incised;complete;1;7,9;;3,8;3,2;;;;"Tronco conical antropomorphic figurine rough made.
2.5YR6/6; <0.5 mm, <3 %";
518;C east;F.1352;489/b;clay figurine;animal figurine;clay;hand;applied;fragmentary;1;5+;0,16875;2.6+;;;;;Head of an animal figurine. 10YR7/4. Inclusion: <3%, 0.5-1mm ;
519;outer town;surface;;clay figurine;clay figurine;clay;hand;applied;fragmentary;1;7,8 +;3,8 +;4,7 +;;;;;"Fragment of an horse figurine with harness. 5YR8/2; <0.5 mm, <3%.";
520;C east;F.1356;475/b;textile tool;loom weight;clay;hand;;nearly complete;1;3.5;;;;4.8;;;Clay biconcal loom weight;
521;C east;F.1376;491/a;indeterminate;indeterminate;iron;-;;fragmentary;1;;;;0.75;12;;;Fragment of iron circular object.;
522;C east;F.1352;489/w;METAL TOOL & WEAPON;indeterminate;bronze;hand;;fragmentary;1;;5.4+;2;0.5;;;;Indeterminate bronze lamina (blade?);
523;C east;F.1352;489/x;indeterminate;indeterminate;iron;-;;fragmentary;1;;;;1;14;4;;Fragment of iron circular object with hole in the center. ;
524;est via colonnata;surface;;coin;coin;copper;moult;;complete;1;;;;0.25;1.75;;2;Bronze coin. Recto: men's head and latin inscription. Verso: 2 warrior with spear and short skirt and object in the center and latin inscription.;
525;A east;F.781;208/d;glass conteiner;glass vessel;glass;hand;;fragmentary;1;;;;;;;;Fragmentary  transparent glass vessel ;
